City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Rikitea,PF,71.08,light rain,-23.1203,-134.9692,People ThankYou
10,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Cayenne,GF,76.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
21,Sao Filipe,CV,72.34,broken clouds,14.8961,-24.4956,Hotel Xaguate
39,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
40,Zaraza,VE,70.27,overcast clouds,9.3503,-65.3245,Hotel Zaraza
43,Atuona,PF,77.38,clear sky,-9.8,-139.0333,Villa Enata
45,Fayetteville,US,72.01,broken clouds,35.0527,-78.8784,American Eagle Inn
48,Mount Isa,AU,74.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
50,Morgan City,US,78.04,moderate rain,29.6994,-91.2068,Hampton Inn & Suites Morgan City
57,Yar-Sale,RU,75.9,broken clouds,66.8333,70.8333,Yalemd
58,Clearwater,US,79.93,clear sky,27.9659,-82.8001,Shephard's Beach Resort
60,Carnarvon,AU,77.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
61,Hamilton,US,70.05,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
63,Stephenville,US,73.53,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
67,Krasnoborsk,RU,72.97,clear sky,61.5598,45.934,"Baza Otdykha ""Medvezhiy Ugol"""
77,Nchelenge,ZM,71.8,clear sky,-9.3451,28.734,KD Travellers Home
79,Alice Springs,AU,74.75,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
82,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
83,Salmo,CA,72.07,overcast clouds,49.1999,-117.2689,Reno Motel
84,Harrisonville,US,72.01,clear sky,38.6533,-94.3488,Americas Best Value Inn & Suites Harrisonville
87,Constantine,DZ,79.45,clear sky,36.365,6.6147,Grand Hotel Cirta
89,Puerto Escondido,MX,79.88,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
90,Makaha,US,78.71,broken clouds,21.4694,-158.2175,Hawaiian Princess Resort
95,Hilo,US,75.79,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
98,Vila Franca Do Campo,PT,70.21,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
100,Coahuayana,MX,75.76,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
104,Batagay,RU,73.2,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
105,Cape Canaveral,US,78.98,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
109,Saint-Philippe,RE,75.22,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
112,Guerrero Negro,MX,70.68,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
120,Touros,BR,72.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
121,Ponta Do Sol,PT,70.43,clear sky,32.6667,-17.1,Hotel do Campo
122,Saint-Joseph,RE,74.21,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
123,Velsk,RU,72.73,overcast clouds,61.0701,42.0983,Zhemchuzhina Severa
125,Faanui,PF,79.32,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
128,Belmonte,BR,72.1,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
131,Najran,SA,70.45,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
136,Kahului,US,76.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
137,Xai-Xai,MZ,72.63,clear sky,-25.0519,33.6442,Complexo da Familia
138,Isangel,VU,74.59,clear sky,-19.55,169.2667,Tanna Lodge
144,Omboue,GA,76.95,clear sky,-1.5746,9.2618,Hotel Olako
148,Inyonga,TZ,75.69,clear sky,-6.7167,32.0667,Eden Rock Lodge
152,Caravelas,BR,70.02,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
155,Bethel,US,70.38,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
160,Letka,RU,74.17,light rain,59.6011,49.4232,"Gostinitsa Letka, Shinomontazh"
162,Ribeira Grande,PT,72.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
166,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
167,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
169,Mayumba,GA,74.59,few clouds,-3.432,10.6554,LIKWALE LODGE
172,Inongo,CD,74.14,scattered clouds,-1.95,18.2667,Hotel Du Lac
174,College,US,73.35,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
180,West Odessa,US,74.86,clear sky,31.8424,-102.4988,Corporate Mobile Housing
184,Puerto Berrio,CO,71.89,broken clouds,6.4916,-74.4033,Hotel Central
185,Nanakuli,US,78.75,few clouds,21.3906,-158.1547,Camp Pālehua
193,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
195,Aklavik,CA,70.63,clear sky,68.2191,-135.0107,Aklavik Inn
200,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
203,Mindelo,CV,76.55,broken clouds,16.8901,-24.9804,Hotel Gaudi
204,Acarau,BR,76.8,overcast clouds,-2.8856,-40.12,castelo pizzaria
214,Makokou,GA,73.74,broken clouds,0.5738,12.8642,WAMY RESIDENCE HOTEL
222,Cabedelo,BR,74.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
223,Kano,NG,78.69,clear sky,12.0001,8.5167,Havana Guest Inn
226,Carutapera,BR,75.13,clear sky,-1.195,-46.02,Lidera
228,Coria,ES,72.7,clear sky,39.9879,-6.5377,Hotel Ahc Palacio Coria
230,Port Hawkesbury,CA,71.55,moderate rain,45.6169,-61.3485,MacKenzie House Tourist Home B&B
236,Jashpurnagar,IN,76.69,light rain,22.9,84.15,Sagar Restaurant
240,Parczew,PL,72.21,few clouds,51.6402,22.9006,Hotel Orion - Restauracja - Sala Weselna
245,Manta,EC,73.18,overcast clouds,-0.95,-80.7333,Balandra Hotel
250,Dillon,US,74.25,overcast clouds,34.4166,-79.3712,Dillon Express Inn
252,Payson,US,74.95,few clouds,40.0444,-111.7321,Quality Inn Payson I-15
256,Alofi,NU,71.49,clear sky,-19.0595,-169.9187,Taloa Heights
260,Artvin,TR,76.28,clear sky,41.1667,41.8333,Koru Butik Otel
261,Bowen,AU,73.62,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
265,Batouri,CM,70.34,overcast clouds,4.4333,14.3667,Hotel Hollywood
268,Marsabit,KE,71.24,few clouds,2.3284,37.9899,Chicho Hotel
269,Sambava,MG,76.01,light rain,-14.2667,50.1667,Melrose
270,Airai,TL,70.02,broken clouds,-8.9266,125.4092,Juvinal Martin
274,Boffa,GN,77.63,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
288,Coruripe,BR,73.13,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
290,Lyubinskiy,RU,78.48,broken clouds,55.1542,72.6925,На «70 Лет Октября»
292,Iacu,BR,70.16,overcast clouds,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
293,Ust-Kan,RU,76.6,overcast clouds,50.9276,84.761,Mini-hotel na Leninskoy
298,Amahai,ID,79.61,broken clouds,-3.3333,128.9167,HOTEL ISABELA
300,Sterling,US,72.79,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
302,Clyde,US,72.59,clear sky,41.3042,-82.9752,Red Roof Inn Clyde
304,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
313,Fulton,US,72.61,mist,33.7668,-84.4499,Gorgeous City Home!!! Sleeps 10!!
316,Newport,GB,78.55,clear sky,51.5877,-2.9984,ibis budget Newport
320,Udachnyy,RU,72.88,few clouds,66.4167,112.4,Severnoye Siyaniye
323,Victoria,HK,79.95,moderate rain,22.2855,114.1577,Mini Hotel Central
328,Honiara,SB,78.8,overcast clouds,-9.4333,159.95,Heritage Park Hotel
330,Azuaga,ES,70.97,clear sky,38.2667,-5.6833,Casa Rural La Hoya
337,Saint-Lo,FR,74.59,clear sky,49.1162,-1.0903,Hôtel Mercure Saint-Lô Centre
340,Tutoia,BR,77.23,clear sky,-2.7619,-42.2744,Pousada Guará's
343,San Carlos,VE,70.52,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
344,Karratha,AU,79.59,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
