City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,37.06,87,90,9.22,light rain
1,Portland,US,45.5234,-122.6762,66.78,75,1,4.0,clear sky
2,Mataura,NZ,-46.1927,168.8643,41.49,93,100,3.67,overcast clouds
3,Port Hardy,CA,50.6996,-127.4199,55.4,93,40,4.61,scattered clouds
4,Bluff,NZ,-46.6,168.3333,41.81,84,99,12.35,overcast clouds
5,Camacha,PT,33.0833,-16.3333,66.96,82,40,8.05,scattered clouds
6,Hermanus,ZA,-34.4187,19.2345,49.89,73,99,7.94,moderate rain
7,Rikitea,PF,-23.1203,-134.9692,71.08,69,100,25.37,light rain
8,Longyearbyen,SJ,78.2186,15.6401,44.44,70,75,6.91,broken clouds
9,Panzhihua,CN,26.5851,101.7128,90.45,41,0,1.16,clear sky
10,Puerto Ayora,EC,-0.7393,-90.3518,72.55,92,100,5.99,overcast clouds
11,Shaowu,CN,27.3409,117.4831,89.4,61,72,5.41,broken clouds
12,Castro,BR,-24.7911,-50.0119,35.55,62,100,2.3,overcast clouds
13,Khor,RU,47.8861,134.9464,88.97,47,6,4.83,clear sky
14,Flinders,AU,-34.5833,150.8552,58.21,61,100,4.0,light rain
15,Cayenne,GF,4.9333,-52.3333,76.08,91,0,0.0,clear sky
16,Grand Island,US,40.925,-98.342,65.19,80,0,3.56,clear sky
17,Griffith,US,41.5284,-87.4237,69.91,93,1,0.0,clear sky
18,Severo-Kurilsk,RU,50.6789,156.125,51.48,94,99,6.78,overcast clouds
19,Chimoio,MZ,-19.1164,33.4833,57.06,100,75,3.44,broken clouds
20,Half Moon Bay,US,37.4636,-122.4286,64.0,86,1,0.0,clear sky
21,Sao Filipe,CV,14.8961,-24.4956,72.34,83,58,4.47,broken clouds
22,Homer,US,59.6425,-151.5483,60.69,75,1,6.91,clear sky
23,Hobart,AU,-42.8794,147.3294,46.26,70,20,1.01,few clouds
24,Bredasdorp,ZA,-34.5322,20.0403,51.12,87,100,1.14,light rain
25,Mar Del Plata,AR,-38.0023,-57.5575,46.09,71,0,5.01,clear sky
26,Aksu,CN,41.1231,80.2644,84.36,30,66,6.29,broken clouds
27,Albany,US,42.6001,-73.9662,67.98,95,0,3.56,clear sky
28,Hithadhoo,MV,-0.6,73.0833,82.49,73,93,8.95,overcast clouds
29,Bengkulu,ID,-3.8004,102.2655,84.31,71,20,7.87,heavy intensity rain
30,Nikolskoye,RU,59.7035,30.7861,66.78,49,97,10.96,overcast clouds
31,Lebu,CL,-37.6167,-73.65,51.89,93,99,8.97,overcast clouds
32,Tuatapere,NZ,-46.1333,167.6833,41.83,88,100,5.64,overcast clouds
33,Riyadh,SA,24.6877,46.7219,105.94,10,38,14.85,scattered clouds
34,Provideniya,RU,64.3833,-173.3,48.83,91,100,5.26,overcast clouds
35,Victoria Point,AU,-27.5833,153.3,64.36,45,100,4.0,overcast clouds
36,Aswan,EG,24.0934,32.907,101.05,12,100,12.75,overcast clouds
37,Andenes,NO,69.3143,16.1194,48.07,81,75,19.57,light rain
38,Coihaique,CL,-45.5752,-72.0662,40.95,93,90,3.44,light rain
39,Avarua,CK,-21.2078,-159.775,77.05,83,40,12.66,scattered clouds
40,Zaraza,VE,9.3503,-65.3245,70.27,98,90,0.63,overcast clouds
41,Norman Wells,CA,65.282,-126.8329,64.44,63,40,9.22,scattered clouds
42,Varnamo,SE,57.186,14.04,66.76,52,26,13.04,scattered clouds
43,Atuona,PF,-9.8,-139.0333,77.38,69,0,26.28,clear sky
44,Barcelos,PT,41.5388,-8.6151,62.92,80,86,0.36,overcast clouds
45,Fayetteville,US,35.0527,-78.8784,72.01,95,75,1.99,broken clouds
46,Deer Lake,CA,49.1667,-57.4316,64.26,77,90,0.0,overcast clouds
47,Kaitangata,NZ,-46.2817,169.8464,46.92,79,100,4.25,overcast clouds
48,Mount Isa,AU,-20.7333,139.5,74.97,17,75,12.66,broken clouds
